"transaction_id";"account_id";"transaction_type";"transaction_date";"amount";"fraudulent"
178;11;"cartão de crédito";"1987-05-01";-298.76;1
179;11;"PIX";"1994-04-10";-365.42;1
180;12;"PIX";"1927-10-12";-269.42;0
181;9;"cartão de crédito";"1986-05-29";-15.52;0
182;5;"cartão de crédito";"2006-01-10";-20.21;0
183;8;"cartão de débito";"1970-02-09";-213.11;0
184;11;"cartão de débito";"1989-02-13";421.04;0
185;2;"PIX";"1987-06-08";-42.82;0
186;2;"cartão de crédito";"1988-12-18";-270.86;0
187;1;"cartão de crédito";"1988-07-19";37.74;0
188;4;"PIX";"1987-04-06";-586.62;1
189;14;"cartão de crédito";"1924-11-04";-15.84;0
190;14;"cartão de crédito";"1923-11-24";0.67;0
191;7;"TED";"1964-03-02";60.27;0
192;12;"cartão de crédito";"1928-09-09";-320.77;0
193;9;"cartão de débito";"1987-08-17";-409.15;0
194;8;"PIX";"1962-03-30";-23.67;0
195;10;"PIX";"1925-08-14";-540.34;0
196;12;"cartão de crédito";"1921-03-10";-252.64;0
197;13;"PIX";"1986-01-18";672.57;0
198;12;"PIX";"1926-11-26";-24.65;0
199;7;"PIX";"1960-02-12";-522.15;0
200;5;"PIX";"2004-07-12";-195.25;0
201;8;"PIX";"1968-03-17";-226.79;0
202;10;"PIX";"1922-02-02";-73.71;0
203;3;"PIX";"1991-03-18";-456.72;0
204;5;"cartão de crédito";"2006-03-18";309.79;0
205;17;"PIX";"1994-06-17";-3.23;0
206;14;"PIX";"1926-05-13";-44.62;0
207;10;"cartão de crédito";"1921-03-27";-419.83;0
208;6;"cartão de crédito";"2007-09-08";-309.64;1
209;4;"PIX";"1983-12-16";-279.43;0
210;1;"PIX";"1989-12-08";-193.67;0
211;14;"PIX";"1926-12-24";49.22;0
212;8;"PIX";"1970-05-17";-355.74;0
213;10;"cartão de crédito";"1920-11-09";-711.12;0
214;1;"PIX";"1983-10-12";-197.1;0
215;9;"cartão de crédito";"1986-07-06";-538.99;0
216;6;"PIX";"2004-04-08";-17.4;0
217;15;"cartão de crédito";"1989-09-21";-6.76;0
218;4;"PIX";"1990-01-12";-358.17;1
219;2;"PIX";"1989-05-01";-152.31;0
220;5;"cartão de crédito";"2000-11-27";-112.63;0
221;17;"PIX";"1994-11-22";-17.08;0
222;9;"cartão de crédito";"1986-06-04";-690.56;0
223;16;"PIX";"1930-10-27";-193.79;0
224;15;"TED";"1988-12-12";1440.0;0
225;1;"PIX";"1985-05-22";-138.03;0
226;11;"PIX";"1991-07-28";-281.7;1
227;14;"cartão de débito";"1926-12-25";-43.69;0
228;5;"PIX";"2003-10-14";-299.75;1
229;4;"cartão de débito";"1989-03-23";-206.83;0
230;8;"cartão de crédito";"1967-06-11";-626.66;0
231;9;"PIX";"1992-05-15";-462.06;0
232;15;"cartão de crédito";"1986-01-10";-68.9;0
233;4;"PIX";"1984-03-28";-134.47;0
234;11;"cartão de crédito";"1986-11-22";-624.59;1
235;3;"PIX";"1997-03-29";-261.28;0
236;7;"PIX";"1963-04-28";-477.38;0
237;15;"PIX";"1987-09-23";-1.08;0
238;11;"cartão de débito";"1991-08-22";-178.26;0
239;15;"PIX";"1986-07-11";-59.14;0
240;17;"cartão de crédito";"1991-05-09";-156.48;0
241;13;"PIX";"1992-02-28";-215.98;0
242;5;"PIX";"2004-04-09";-91.62;0
243;1;"cartão de crédito";"1985-06-22";-23.96;0
244;5;"cartão de crédito";"2006-04-20";-89.28;0
245;3;"PIX";"1996-01-19";-273.2;0
246;8;"cartão de crédito";"1962-11-02";-368.38;0
247;5;"PIX";"2008-06-20";-1.36;0
248;12;"cartão de crédito";"1926-10-13";-412.91;0
249;9;"cartão de crédito";"1987-04-30";-136.76;0
250;5;"PIX";"2002-12-05";-254.17;1
251;17;"PIX";"1994-02-16";-10.21;0
252;6;"cartão de crédito";"2011-05-15";-399.58;1
253;6;"PIX";"2009-03-05";-244.07;0
254;11;"PIX";"1990-02-07";-149.75;0
255;8;"PIX";"1965-01-19";-317.01;0
256;12;"PIX";"1926-12-22";-169.4;0
257;12;"PIX";"1927-07-17";-319.49;0
258;9;"TED";"1987-01-28";-161.15;0
259;14;"cartão de crédito";"1927-02-11";-16.59;0
260;11;"cartão de crédito";"1995-09-11";-251.47;0
261;8;"cartão de crédito";"1965-09-29";397.85;0
262;2;"PIX";"1991-08-21";-235.2;0
263;2;"PIX";"1990-02-28";102.78;0
264;6;"PIX";"2001-07-12";-405.1;1
265;8;"cartão de crédito";"1964-04-04";-214.88;0
266;2;"PIX";"1988-09-11";228.18;0
267;7;"cartão de crédito";"1956-12-20";-191.19;0
268;8;"cartão de crédito";"1967-02-08";-604.82;0
269;14;"cartão de crédito";"1922-05-08";-5.86;0
270;4;"PIX";"1981-08-22";595.3;0
271;2;"PIX";"1992-06-14";-153.58;0
272;6;"cartão de crédito";"2011-02-21";-198.36;0
273;2;"cartão de débito";"1993-03-01";-8.34;0
274;5;"cartão de crédito";"1999-05-08";-190.37;0
275;11;"cartão de crédito";"1991-03-22";-33.2;0
276;1;"PIX";"1987-09-19";-169.54;0
277;14;"PIX";"1921-07-16";408.0;0
278;11;"PIX";"1992-08-15";-461.3;1
279;9;"PIX";"1990-08-19";-683.3;0
280;8;"PIX";"1969-01-07";152.67;0
281;4;"cartão de crédito";"1989-04-27";-57.08;0
282;5;"cartão de crédito";"2006-05-30";89.13;0
283;8;"cartão de crédito";"1962-02-11";-334.64;0
284;8;"PIX";"1968-02-06";-111.45;0
285;12;"PIX";"1923-12-02";-172.74;0
286;2;"PIX";"1989-03-10";-358.43;1
287;10;"cartão de débito";"1928-05-27";-595.88;0
288;6;"PIX";"2003-09-25";-439.22;1
289;3;"PIX";"1997-04-07";-497.17;0
290;4;"PIX";"1988-07-08";202.34;0
291;13;"PIX";"1986-02-21";-774.59;0
292;8;"cartão de crédito";"1966-10-01";640.28;0
293;2;"PIX";"1990-03-15";-51.36;0
294;8;"PIX";"1966-09-15";-210.7;0
295;10;"PIX";"1923-01-29";-520.04;0
296;1;"cartão de crédito";"1988-10-06";-68.08;0
297;6;"PIX";"2007-05-02";-63.13;0
298;6;"cartão de débito";"2006-06-26";293.6;0
299;11;"cartão de crédito";"1992-10-30";-770.05;1
300;13;"PIX";"1986-12-11";-760.9;0
301;12;"PIX";"1921-01-16";-99.96;0
302;8;"PIX";"1969-01-16";115.74;0
303;7;"cartão de crédito";"1959-11-03";-573.71;0
304;5;"PIX";"2006-06-25";-15.19;0
305;1;"PIX";"1984-09-27";172.83;0
306;10;"PIX";"1922-10-09";-513.11;0
307;2;"PIX";"1995-02-14";-72.13;0
308;5;"PIX";"2004-02-05";93.41;0
309;11;"cartão de crédito";"1990-07-22";-719.18;1
310;10;"cartão de crédito";"1922-06-16";60.91;0
311;7;"PIX";"1963-08-09";455.88;0
312;17;"PIX";"1994-01-23";-118.84;0
313;14;"PIX";"1925-02-16";-12.62;0
314;9;"PIX";"1986-07-22";451.65;0
315;5;"PIX";"2006-01-20";-84.78;0
316;4;"cartão de crédito";"1980-07-19";7.5;0
317;8;"cartão de débito";"1962-09-05";-146.26;0
318;15;"PIX";"1987-08-19";-41.32;0
319;1;"cartão de crédito";"1986-09-19";-122.79;0
320;2;"cartão de crédito";"1987-05-19";-365.79;1
321;14;"cartão de crédito";"1921-07-07";-47.93;0
322;10;"cartão de débito";"1925-05-04";-201.82;0
323;11;"cartão de crédito";"1988-10-23";-698.86;1
324;10;"cartão de débito";"1929-03-26";-22.36;0
325;11;"cartão de débito";"1990-06-13";-112.83;0
326;8;"PIX";"1968-11-11";-153.88;0
327;6;"PIX";"2006-03-08";-352.0;1
328;8;"PIX";"1961-11-29";-519.23;0
329;13;"PIX";"1993-12-18";-611.67;0
330;16;"cartão de crédito";"1922-09-11";-16.28;0
331;15;"cartão de débito";"1992-09-04";103.39;0
332;8;"PIX";"1964-09-28";-526.0;0
333;16;"cartão de crédito";"1930-09-24";-165.93;0
334;1;"cartão de débito";"1989-12-07";52.39;0
335;10;"cartão de crédito";"1926-01-19";482.94;0
336;9;"PIX";"1983-04-10";-704.73;0
337;7;"cartão de débito";"1957-01-09";-183.76;0
338;14;"cartão de crédito";"1925-12-12";-2.58;0
339;9;"cartão de crédito";"1983-12-05";703.8;0
340;14;"cartão de crédito";"1922-01-26";-74.09;0
341;11;"PIX";"1986-12-23";-102.12;0
342;6;"cartão de crédito";"2002-09-18";14019.0;0
343;16;"PIX";"1925-06-10";-12.07;0
344;13;"PIX";"1992-03-09";-173.63;0
345;9;"PIX";"1984-07-21";-725.72;0
346;3;"PIX";"1999-11-27";-108.09;0
347;10;"cartão de crédito";"1925-05-27";692.41;0
348;9;"PIX";"1984-07-28";-119.52;0
349;16;"cartão de crédito";"1930-02-11";-331.99;0
350;12;"cartão de crédito";"1923-08-17";-518.69;0
351;6;"cartão de crédito";"2006-12-11";-340.79;1
352;17;"PIX";"1986-04-30";22.21;0
353;2;"cartão de débito";"1985-11-28";-142.66;0
354;2;"cartão de crédito";"1989-11-10";-43.04;0
355;16;"cartão de crédito";"1929-07-25";-363.39;0
356;2;"cartão de débito";"1985-09-06";-335.97;1
357;15;"PIX";"1992-07-25";-24.04;0
358;2;"PIX";"1993-05-04";71.28;0
359;7;"PIX";"1957-09-14";-480.01;0
360;13;"cartão de crédito";"1993-07-27";-573.88;0
361;2;"cartão de crédito";"1989-11-19";-222.28;0
362;9;"PIX";"1989-04-03";357.14;0
363;9;"cartão de crédito";"1983-09-30";-211.62;0
364;8;"cartão de crédito";"1962-04-28";-602.51;0
365;9;"PIX";"1991-04-14";678.41;0
366;12;"PIX";"1925-10-11";-531.46;0
367;17;"cartão de crédito";"1989-09-08";-154.33;0
368;8;"cartão de crédito";"1961-02-25";-187.52;0
369;1;"cartão de crédito";"1984-01-27";-225.52;1
370;1;"PIX";"1984-09-22";-11.75;0
371;3;"PIX";"2000-03-20";-29.47;0
372;16;"cartão de crédito";"1929-08-29";-155.26;0
373;7;"PIX";"1957-07-30";-533.46;0
374;15;"PIX";"1992-12-30";999.0;0
375;14;"PIX";"1926-07-25";-58.53;0
376;10;"PIX";"1924-12-06";332.08;0
377;12;"cartão de crédito";"1927-03-12";45051.0;0
378;11;"cartão de crédito";"1986-05-18";-272.99;1
379;13;"PIX";"1994-03-09";-555.46;0
380;7;"PIX";"1966-02-25";286.8;0
381;9;"cartão de crédito";"1990-08-27";-435.34;0
382;13;"PIX";"1994-01-23";-750.27;0
383;17;"cartão de crédito";"1993-10-08";49.49;0
384;13;"PIX";"1991-11-24";186.61;0
385;9;"PIX";"1985-05-01";-575.45;0
386;2;"cartão de crédito";"1989-06-27";-253.65;0
387;2;"PIX";"1985-03-06";-53.84;0
388;6;"cartão de crédito";"2008-03-28";418.83;0
389;6;"PIX";"2008-09-08";215.29;0
390;10;"PIX";"1925-10-28";-82.23;0
391;10;"PIX";"1928-08-16";710.15;0
392;17;"cartão de crédito";"1988-11-06";-127.51;0
393;5;"PIX";"2008-05-28";46.69;0
394;3;"cartão de crédito";"1992-09-01";-655.63;1
395;4;"cartão de crédito";"1988-10-04";-192.43;0
396;12;"PIX";"1921-09-26";-162.48;0
397;4;"cartão de crédito";"1990-03-06";-138.15;0
398;7;"cartão de crédito";"1961-09-25";-635.46;0
399;16;"PIX";"1924-01-15";-299.74;0
400;14;"cartão de crédito";"1923-12-16";78.08;0
401;7;"cartão de débito";"1956-07-31";-149.87;0
402;7;"cartão de crédito";"1961-11-14";388.33;0
403;6;"PIX";"2001-12-12";-366.35;1
404;16;"cartão de crédito";"1922-09-25";-240.79;0
405;4;"PIX";"1981-01-13";-326.07;1
406;15;"PIX";"1992-03-27";-58.22;0
407;7;"PIX";"1961-06-01";-125.87;0
408;13;"cartão de crédito";"1990-07-18";-351.24;0
409;8;"PIX";"1964-06-13";-569.63;0
410;12;"PIX";"1921-04-16";32664.0;0
411;7;"PIX";"1958-09-29";501.67;0
412;6;"cartão de crédito";"2008-01-27";-41.46;0
413;11;"PIX";"1991-06-18";396.04;0
414;10;"cartão de crédito";"1924-10-27";737.15;0
415;4;"cartão de crédito";"1983-06-07";-551.48;1
416;13;"cartão de crédito";"1989-12-18";-677.02;0
417;12;"PIX";"1925-07-29";-169.19;0
418;1;"cartão de crédito";"1984-09-30";179.65;0
419;2;"cartão de crédito";"1988-03-23";-276.96;1
420;3;"PIX";"1991-12-13";-281.65;0
421;15;"cartão de crédito";"1987-06-26";-76.04;0
422;17;"PIX";"1988-02-10";-34.84;0
423;3;"cartão de crédito";"1996-11-27";-642.73;1
424;10;"cartão de crédito";"1930-06-13";-185.53;0
425;5;"PIX";"2007-08-17";-7.47;0
426;7;"PIX";"1961-01-12";371.37;0
427;16;"PIX";"1922-11-11";-165.18;0
428;13;"PIX";"1987-02-04";-670.79;0
429;17;"cartão de crédito";"1992-07-15";21.4;0
430;3;"cartão de crédito";"2000-01-19";-237.76;0
431;12;"cartão de crédito";"1925-01-23";-56.59;0
432;2;"cartão de crédito";"1989-06-05";-328.73;1
433;16;"PIX";"1922-08-25";12009.0;0
434;2;"cartão de crédito";"1987-06-13";-65.97;0
435;13;"cartão de crédito";"1995-08-04";547.5;0
436;16;"PIX";"1924-08-23";-383.24;0
437;13;"cartão de crédito";"1992-05-19";-718.8;0
438;10;"PIX";"1922-07-18";-621.21;0
439;5;"PIX";"2005-10-16";-106.76;0
440;11;"cartão de débito";"1988-02-29";-481.92;1
441;17;"cartão de crédito";"1995-01-19";-100.45;0
442;3;"PIX";"1997-05-25";-539.79;0
443;2;"cartão de débito";"1987-03-06";-6.41;0
444;5;"cartão de crédito";"2007-04-13";-73.58;0
445;4;"cartão de crédito";"1989-05-08";-270.56;0
446;13;"cartão de crédito";"1988-11-25";-150.22;0
447;11;"PIX";"1993-01-07";-353.7;1
448;15;"PIX";"1994-09-06";-103.88;0
449;8;"PIX";"1963-12-04";-83.19;0
450;4;"PIX";"1982-04-19";-474.77;1
451;4;"PIX";"1989-03-06";139.65;0
452;9;"PIX";"1986-10-17";-652.1;0
453;4;"cartão de crédito";"1988-06-14";330.38;0
454;17;"PIX";"1988-01-24";-1.08;0
455;16;"PIX";"1929-01-30";-304.73;0
456;13;"PIX";"1991-07-26";-637.92;0
457;1;"PIX";"1982-11-15";-123.7;0
458;6;"cartão de crédito";"2010-04-26";72.65;0
459;15;"PIX";"1986-11-01";-63.15;0
460;10;"cartão de crédito";"1924-07-30";-106.03;0
461;3;"cartão de crédito";"1996-12-20";456.69;0
462;7;"cartão de débito";"1957-09-21";-376.22;0
463;11;"cartão de crédito";"1993-04-27";-30.6;0
464;3;"PIX";"1999-08-05";-169.22;0
465;8;"PIX";"1961-08-09";399.97;0
466;4;"cartão de crédito";"1981-03-15";-595.01;1
467;10;"cartão de crédito";"1929-08-04";-288.55;0
468;7;"PIX";"1963-02-07";-552.18;0
469;13;"cartão de débito";"1987-11-09";-747.1;0
470;16;"PIX";"1923-03-09";-181.63;0
471;9;"cartão de crédito";"1992-08-26";-348.89;0
472;12;"cartão de débito";"1920-08-04";-264.55;0
473;2;"cartão de crédito";"1986-10-25";-364.37;1
474;3;"PIX";"1994-11-04";-465.86;0
475;3;"PIX";"2000-02-13";9.56;0
476;6;"PIX";"2010-10-11";243.76;0
477;3;"cartão de débito";"1991-07-23";-719.61;1
478;17;"TED";"1995-07-11";-109.69;0
479;13;"PIX";"1995-07-11";-91.93;0
480;4;"PIX";"1990-03-19";275.99;0
481;5;"cartão de débito";"2005-11-21";12409.0;0
482;16;"PIX";"1929-10-30";-299.46;0
483;14;"cartão de crédito";"1927-01-02";-31.38;0
484;8;"cartão de débito";"1961-05-03";-132.35;0
485;2;"PIX";"1987-01-02";-170.36;0
486;5;"PIX";"1999-11-04";-195.44;0
487;14;"cartão de crédito";"1924-12-17";-30.77;0
488;10;"PIX";"1930-09-10";-698.56;0
489;11;"PIX";"1991-01-31";-759.47;1
490;15;"PIX";"1992-10-11";112.86;0
491;3;"TED";"1995-10-09";-207.36;0
492;12;"PIX";"1926-11-27";-621.04;0
493;13;"PIX";"1993-12-05";-785.49;0
494;5;"cartão de crédito";"2005-12-06";-110.52;0
495;12;"cartão de crédito";"1928-03-25";37.07;0
496;9;"cartão de crédito";"1986-04-17";-126.79;0
497;3;"cartão de crédito";"1991-11-20";671.15;0
498;3;"cartão de débito";"1998-01-25";-645.49;1
499;13;"cartão de débito";"1987-03-12";568.77;0
500;3;"PIX";"1993-02-12";-168.9;0
501;12;"PIX";"1925-11-23";-219.84;0
502;8;"cartão de débito";"1961-08-25";-510.9;0
503;9;"cartão de crédito";"1987-10-07";-395.8;0
504;9;"PIX";"1986-01-03";-707.86;0
505;16;"PIX";"1920-11-24";-157.08;0
506;9;"PIX";"1983-06-30";-397.7;0
507;11;"PIX";"1986-08-06";-386.91;1
508;9;"cartão de débito";"1989-02-09";-186.44;0
509;2;"PIX";"1994-08-15";-3.36;0
510;3;"PIX";"1991-12-05";-491.65;0
511;3;"PIX";"1997-07-07";141.12;0
512;8;"PIX";"1966-07-10";-5.11;0
513;1;"cartão de crédito";"1986-08-04";-141.3;0
514;3;"PIX";"1994-09-05";-17.2;0
515;8;"cartão de crédito";"1965-06-21";-162.22;0
516;11;"cartão de crédito";"1992-05-24";-662.41;1
517;3;"cartão de crédito";"1996-05-23";-208.03;0
518;7;"cartão de débito";"1957-02-06";-607.55;0
519;12;"PIX";"1923-09-18";-366.85;0
520;8;"PIX";"1969-01-25";-537.04;0
521;13;"cartão de crédito";"1992-04-15";-495.97;0
522;14;"cartão de crédito";"1921-08-17";-36.12;0
523;12;"cartão de débito";"1923-10-10";-312.83;0
524;6;"cartão de crédito";"2009-01-06";-119.11;0
525;17;"cartão de débito";"1987-04-16";71.57;0
526;10;"PIX";"1922-05-09";-344.01;0
527;2;"cartão de débito";"1993-12-05";-185.14;0
528;1;"PIX";"1982-12-27";-106.63;0
529;6;"PIX";"2003-12-06";-369.11;1
530;2;"PIX";"1988-06-21";-389.95;1
531;5;"cartão de crédito";"1999-05-12";-299.59;1
532;7;"cartão de crédito";"1964-08-06";-308.99;0
533;3;"cartão de crédito";"1998-11-08";-236.74;0
534;11;"cartão de débito";"1991-10-08";-482.61;1
535;14;"cartão de crédito";"1922-08-04";-49.5;0
536;15;"cartão de crédito";"1986-04-12";-99.89;0
537;17;"cartão de crédito";"1989-09-03";-58.03;0
538;3;"PIX";"2000-08-25";-679.07;1
539;16;"PIX";"1929-10-07";-396.54;0
540;16;"cartão de crédito";"1921-02-24";-2.28;0
541;8;"cartão de crédito";"1966-08-13";-601.0;0
542;4;"cartão de crédito";"1981-01-20";-307.93;0
543;16;"cartão de débito";"1924-10-15";-213.65;0
544;16;"cartão de crédito";"1930-11-02";402.31;0
545;8;"PIX";"1961-08-10";225.59;0
546;16;"PIX";"1929-01-21";-153.27;0
